observation_date,CPIAUCSL
2007-07-01,207.939
2007-10-01,210.490
2008-01-01,212.770
2008-04-01,215.538
2008-07-01,218.861
2008-10-01,213.849
2009-01-01,212.378
2009-04-01,213.507
2009-07-01,215.344
2009-10-01,217.030
2010-01-01,217.374
2010-04-01,217.297
2010-07-01,217.934
2010-10-01,219.699
2011-01-01,222.044
2011-04-01,224.568
2011-07-01,226.033
2011-10-01,227.047
2012-01-01,228.326
2012-04-01,228.808
2012-07-01,229.841
2012-10-01,231.369
2013-01-01,232.299
2013-04-01,232.045
2013-07-01,233.300
2013-10-01,234.163
2014-01-01,235.621
2014-04-01,236.872
2014-07-01,237.478
2014-10-01,236.888
2015-01-01,235.355
2015-04-01,236.960
2015-07-01,237.855
2015-10-01,237.837
2016-01-01,237.689
2016-04-01,239.590
2016-07-01,240.607
2016-10-01,242.135
2017-01-01,243.839
2017-04-01,244.120
2017-07-01,245.287
2017-10-01,247.238
2018-01-01,249.322
2018-04-01,250.679
2018-07-01,251.686
2018-10-01,252.711
2019-01-01,253.386
2019-04-01,255.247
2019-07-01,256.089
2019-10-01,257.888
2020-01-01,258.818
2020-04-01,256.292
2020-07-01,259.222
2020-10-01,261.092
2021-01-01,263.686
2021-04-01,268.580
2021-07-01,272.886
2021-10-01,278.719
2022-01-01,284.845
2022-04-01,291.651
2022-07-01,295.508
2022-10-01,298.498
2023-01-01,301.192
2023-04-01,303.424
2023-07-01,306.042
2023-10-01,308.158
2024-01-01,310.974
2024-04-01,313.096
2024-07-01,314.183
2024-10-01,316.539
2025-01-01,319.492
2025-04-01,
